beer_name,beer_abv,beer_ibu,beer_srm,beer_kcal,national_id,category_id,brewery_id,description,ounces
Kozel Premium,4.8,,,54,Czech,Czech Lager,Pivovar Velke Popovice a.s.,,
Budweiser,5,,,40,USA,American Adjunct Lager,Anheuser Busch,,
Budweiser Select,4.3,,,28,USA,Light Lager?,Anheuser Busch,,
Molson Canadian,5,,,144,Canada,American Adjunct Lager,Molson Coors Canada,,
Corona Extra,4.6,,,148,Mexico,American Adjunct Lager,Grupo Modelo S.A. de C.V.,,
Foster's Lager,5,,,145,Australia,American Adjunct Lager,Foster's Group Limited,,
Stein Lager,4.8,,,96,New Zealand,Euro Pale Lager,New Zealand Breweries Limited,,
South Pacific Lager,4.5,,,,Papua New Guinea,Euro Pale Lager,South Pacific Brewery LTD,,
Gose,4,,,142,USA,Rotating,Westbrook Brewing Co.,,
Kronen Bier,0.5,,,43,Brazil,Pilsener,Antarctica,,
Spaten Munchner Hell,5.2,,,210,Germany,Munich Helles Lager,Spaten-Franziskaner-Brau,,
Edelweiss Dunkel Weissbier,5.5,,,260,Austria,Dunkelweizen,Hofbrau Kaltenhausen,,
Flying Horse Royal Lager,4.7,,,269,India,American Pale Lager,United Breweries,,
Miller Genuine Draft,4.7,,,119,USA,American Adjunct Lager,Miller Brewing Co.,,
Pilsner Urquell,4.4,,,156,Czech,Czech Pilsener,Plzensky Prazdroj,,
Guinness Extra Stout,6,,,122,Ireland,Irish Dry Stout,Guinness Ltd.,,
Heineken,5,,,250,Netherlands,Euro Pale Lager,Heineken Nederland B.V.,,
stella,4.5,,,290,Egypt,Euro Pale Lager,Al Ahram Beverages Company,,
Beck's Bier,4.5,,,190,Germany,Germany Pilsener,,,
Hefeweizen,4.7,,,208,USA,Hefeweizen,Flying Dog Brewery,,
krombacher,4.8,,,130,Germany,Germany Pilsener,Krombacher Brauerei,,
Faxe Premium,5,,,129,Denmark,Euro Pale Lager,Royal Unibrew A/S,,
Kaiserdom Kellerbier,4.7,,,141,Germany,Kellerbier / Zwickelbier,Kaiserdom Privatbrauerei Bamberg,,
kilkenny,4.3,,,210,Ireland,Irish Red Ale,Guinness Ltd.,,
Carlsberg,5,,,114,Denmark,Germany Pilsener,Carlsberg Danmark A/S,,
Weidmann Hefeweissbier,5.3,,,123,Netherlands,Hefeweizen,Oranjeboom Bierbrouwerij B. V.,,
Asahi Super Dry,5,,,126,Japan,Japanese Rice Lager,Asahi Breweries Ltd,,
Kirin Ichiban,5,,,145,Japan,American Pale Lager,"Kirin Brewery Company, Limited",,
Tsingtao,4.8,,,157,China,American Adjunct Lager,Tsingtao Brewery Co. Ltd.,,
