beer_name,beer_abv,beer_ibu,beer_srm,beer_kcal,national_id,category_id,brewery_id,description,ounces
Pub Beer,0.05,,,,america,American Pale Lager,408,,12
Devil's Cup,0.066,,,,america,American Pale Ale (APA),177,,12
Rise of the Phoenix,0.071,,,,america,American IPA,177,,12
Sinister,0.09,,,,america,American Double / Imperial IPA,177,,12
Sex and Candy,0.075,,,,america,American IPA,177,,12
Black Exodus,0.077,,,,america,Oatmeal Stout,177,,12
Lake Street Express,0.045,,,,america,American Pale Ale (APA),177,,12
Foreman,0.065,,,,america,American Porter,177,,12
Jade,0.055,,,,america,American Pale Ale (APA),177,,12
Cone Crusher,0.086,,,,america,American Double / Imperial IPA,177,,12
Sophomoric Saison,0.072,,,,america,Saison / Farmhouse Ale,177,,12
Regional Ring Of Fire,0.073,,,,america,Saison / Farmhouse Ale,177,,12
Garce Sel,0.069,,,,america,Saison / Farmhouse Ale,177,,12
Troll Destroyer,0.085,,,,america,Belgian IPA,177,,12
Bitter Bitch,0.061,60,,,america,American Pale Ale (APA),177,,12
Ginja Ninja,0.06,,,,america,Cider,154,,12
Cherried Away,0.06,,,,america,Cider,154,,12
Rhubarbarian,0.06,,,,america,Cider,154,,12
BrightCider,0.06,,,,america,Cider,154,,12
He Said Baltic-Style Porter,0.082,,,,america,Baltic Porter,368,,12
He Said Belgian-Style Tripel,0.082,,,,america,Tripel,368,,12
Lower De Boom,0.099,92,,,america,American Barleywine,368,,8.4
Fireside Chat,0.079,45,,,america,Winter Warmer,368,,12
Marooned On Hog Island,0.079,,,,america,American Stout,368,,12
Bitter American,0.044,42,,,america,American Pale Ale (APA),368,,12
Hell or High Watermelon Wheat (2009),0.049,17,,,america,Fruit / Vegetable Beer,368,,12
Hell or High Watermelon Wheat (2009),0.049,17,,,america,Fruit / Vegetable Beer,368,,12
21st Amendment Watermelon Wheat Beer (2006),0.049,17,,,america,Fruit / Vegetable Beer,368,,12
21st Amendment IPA (2006),0.07,70,,,america,American IPA,368,,12
Brew Free! or Die IPA (2008),0.07,70,,,america,American IPA,368,,12
Brew Free! or Die IPA (2009),0.07,70,,,america,American IPA,368,,12
Special Edition: Allies Win The War!,0.085,52,,,america,English Strong Ale,368,,12
Hop Crisis,0.097,94,,,america,American Double / Imperial IPA,368,,12
Bitter American (2011),0.044,42,,,america,American Pale Ale (APA),368,,12
Fireside Chat (2010),0.079,45,,,america,Winter Warmer,368,,12
Back in Black,0.068,65,,,america,American Black Ale,368,,12
Monk's Blood,0.083,35,,,america,Belgian Dark Ale,368,,12
Brew Free! or Die IPA,0.07,65,,,america,American IPA,368,,12
Hell or High Watermelon Wheat,0.049,17,,,america,Fruit / Vegetable Beer,368,,12
Bimini Twist,0.07,82,,,america,American IPA,67,,12
Beach Blonde,0.05,,,,america,American Blonde Ale,67,,12
Rod Bender Red,0.059,,,,america,American Amber / Red Ale,67,,12
Passion Fruit Prussia,0.035,11,,,america,Berliner Weissbier,60,,12
Send Help,0.045,18,,,america,American Blonde Ale,60,,12
Cast Iron Oatmeal Brown,0.055,,,,america,American Brown Ale,60,,12
Reprise Centennial Red,0.06,,,,america,American Amber / Red Ale,60,,12
Alter Ego,0.055,,,,america,American Black Ale,60,,12
Divided Sky,0.065,,,,america,American IPA,60,,12
Resurrected,0.065,,,,america,American IPA,60,,12
Contact High,0.05,28,,,america,American Pale Wheat Ale,60,,12
Galaxyfest,0.065,,,,america,American IPA,27,,16
Citrafest,0.05,45,,,america,American IPA,27,,16
Barn Yeti,0.09,,,,america,Belgian Strong Dark Ale,27,,16
Scarecrow,0.069,65,,,america,American IPA,27,,16
Ironman,0.09,50,,,america,English Strong Ale,27,,16
Honey Kolsch,0.046,15,,,america,Kölsch,27,,16
Copperhead Amber,0.052,18,,,america,Belgian Dark Ale,27,,16
Rude Parrot IPA,0.059,75,,,america,American IPA,481,,16
British Pale Ale (2010),0.054,30,,,america,English Pale Ale,481,,16
British Pale Ale,0.054,30,,,america,English Pale Ale,481,,16
Ballz Deep Double IPA,0.084,82,,,america,American Double / Imperial IPA,481,,16
Wolfman's Berliner,0.038,,,,america,Berliner Weissbier,373,,12
Colorado Native,0.055,26,,,america,American Amber / Red Lager,462,,12
Colorado Native (2011),0.055,26,,,america,American Amber / Red Lager,462,,12
Jockamo IPA,0.065,52,,,america,American IPA,533,,12
Purple Haze,0.042,13,,,america,Fruit / Vegetable Beer,533,,12
Abita Amber,0.045,17,,,america,American Amber / Red Lager,533,,12
Citra Ass Down,0.082,68,,,america,American IPA,62,,16
The Brown Note,0.05,20,,,america,American Brown Ale,62,,16
Citra Ass Down,0.08,68,,,america,American Double / Imperial IPA,1,,16
London Balling,0.125,80,,,america,English Barleywine,1,,16
35 K,0.077,25,,,america,Milk / Sweet Stout,1,,16
A Beer,0.042,42,,,america,American Pale Ale (APA),1,,16
Rules are Rules,0.05,25,,,america,German Pilsener,1,,16
Flesh Gourd'n,0.066,21,,,america,Pumpkin Ale,1,,16
Sho'nuff,0.04,13,,,america,Belgian Pale Ale,1,,16
Bloody Show,0.055,17,,,america,American Pilsner,1,,16
Rico Sauvin,0.076,68,,,america,American Double / Imperial IPA,1,,16
Coq de la Marche,0.051,38,,,america,Saison / Farmhouse Ale,1,,16
Kamen Knuddeln,0.065,,,,america,American Wild Ale,1,,16
Pile of Face,0.06,65,,,america,American IPA,1,,16
The Brown Note,0.05,20,,,america,English Brown Ale,1,,16
Maylani's Coconut Stout,0.053,35,,,america,American Stout,367,,16
Oatmeal PSA,0.05,35,,,america,American Pale Ale (APA),367,,16
Pre Flight Pilsner,0.052,33,,,america,American Pilsner,367,,16
P-Town Pilsner,0.04,20,,,america,American Pilsner,117,,12
Klickitat Pale Ale,0.053,36,,,america,American Pale Ale (APA),117,,12
Yellow Wolf Imperial IPA,0.082,103,,,america,American Double / Imperial IPA,117,,12
Freeride APA,0.053,40,,,america,American Pale Ale (APA),270,,12
Alaskan Amber,0.053,18,,,america,Altbier,270,,12
Hopalicious,0.057,,,,america,American Pale Ale (APA),73,,12
Kentucky Klsch,0.043,,,,america,Kölsch,388,,16
Kentucky IPA,0.065,,,,america,American IPA,388,,16
Dusty Trail Pale Ale,0.054,,,,america,American Pale Ale (APA),401,,16
Damnesia,0.062,,,,america,American IPA,401,,16
Desolation IPA,0.062,43,,,america,American IPA,401,,16
Liberty Ale,0.059,,,,america,American IPA,35,,12
IPA,0.065,,,,america,American IPA,35,,12
Summer Wheat,0.045,,,,america,American Pale Wheat Ale,35,,12
California Lager,0.049,,,,america,American Amber / Red Lager,35,,12
Brotherhood Steam,0.056,,,,america,California Common / Steam Beer,35,,12
Blood Orange Gose,0.042,,,,america,Gose,171,,12
Keebarlin' Pale Ale,0.042,,,,america,American Pale Ale (APA),171,,12
"the Kimmie, the Yink and the Holy Gose",0.048,,,,america,Gose,171,,12
Fall Hornin',0.06,,,,america,Pumpkin Ale,171,,12
Barney Flats Oatmeal Stout,0.057,13,,,america,Oatmeal Stout,171,,12
Summer Solstice,0.056,4,,,america,Cream Ale,171,,12
Hop Ottin' IPA,0.07,80,,,america,American IPA,171,,12
Boont Amber Ale,0.058,15,,,america,American Amber / Red Ale,171,,12
Barney Flats Oatmeal Stout,0.057,13,,,america,Oatmeal Stout,171,,12
El Steinber Dark Lager,0.055,25,,,america,Vienna Lager,171,,16
Boont Amber Ale (2010),0.058,15,,,america,American Amber / Red Ale,171,,12
Summer Solstice Cerveza Crema (2009),0.056,4,,,america,Cream Ale,171,,12
Barney Flats Oatmeal Stout (2012),0.057,13,,,america,Oatmeal Stout,171,,12
Winter Solstice,0.069,6,,,america,Winter Warmer,171,,12
Hop Ottin' IPA (2011),0.07,80,,,america,American IPA,171,,12
Boont Amber Ale (2011),0.058,15,,,america,American Amber / Red Ale,171,,12
Summer Solstice (2011),0.056,4,,,america,Cream Ale,171,,12
Poleeko Gold Pale Ale (2009),0.055,28,,,america,American Pale Ale (APA),171,,12
Charlie's Rye IPA,0.06,,,,america,American IPA,146,,16
River Pig Pale Ale,0.054,,,,america,American Pale Ale (APA),542,,16
Oaky's Oatmeal Stout,0.047,,,,america,Oatmeal Stout,542,,16
Angry Orchard Apple Ginger,0.05,,,,america,Cider,434,,16
Angry Orchard Crisp Apple,0.05,,,,america,Cider,434,,16
Angry Orchard Crisp Apple,0.05,,,,america,Cider,434,,12
Golden One,0.068,,,,america,Belgian Pale Ale,193,,12
