brew_name,brew_loc,brew_tel,brew_des
NorthGate Brewing ,Minneapolis,,
Against the Grain Brewery,Louisville,,
Jack's Abby Craft Lagers,Framingham,,
Mike Hess Brewing Company,San Diego,,
Fort Point Beer Company,San Francisco,,
COAST Brewing Company,Charleston,,
Great Divide Brewing Company,Denver,,
Tapistry Brewing,Bridgman,,
Big Lake Brewing,Holland,,
The Mitten Brewing Company,Grand Rapids,,
Brewery Vivant,Grand Rapids,,
Petoskey Brewing,Petoskey,,
Blackrocks Brewery,Marquette,,
Perrin Brewing Company,Comstock Park,,
Witch's Hat Brewing Company,South Lyon,,
Founders Brewing Company,Grand Rapids,,
Flat 12 Bierwerks,Indianapolis,,
Tin Man Brewing Company,Evansville,,
Black Acre Brewing Co.,Indianapolis,,
Brew Link Brewing,Plainfield,,
Bare Hands Brewery,Granger,,
Three Pints Brewing,Martinsville,,
Four Fathers Brewing ,Valparaiso,,
Indiana City Brewing,Indianapolis,,
Burn 'Em Brewing,Michigan City,,
Sun King Brewing Company,Indianapolis,,
Evil Czech Brewery,Mishawaka,,
450 North Brewing Company,Columbus,,
Taxman Brewing Company,Bargersville,,
Cedar Creek Brewery,Seven Points,,
SanTan Brewing Company,Chandler,,
Boulevard Brewing Company,Kansas City,,
James Page Brewing Company,Stevens Point,,
The Dudes' Brewing Company,Torrance,,
Ballast Point Brewing Company,San Diego,,
Anchor Brewing Company,San Francisco,,
Figueroa Mountain Brewing Company,Buellton,,
Avery Brewing Company,Boulder,,
Twisted X Brewing Company,Dripping Springs,,
Gonzo's BiggDogg Brewing,Kalamazoo,,
Big Muddy Brewing,Murphysboro,,
Lost Nation Brewing,East Fairfield,,
Rising Tide Brewing Company,Portland,,
Rivertowne Brewing Company,Export,,
Revolution Brewing Company,Chicago,,
Tallgrass Brewing Company,Manhattan,,
Sixpoint Craft Ales,Brooklyn,,
White Birch Brewing,Hooksett,,
Firestone Walker Brewing Company,Paso Robles,,
SweetWater Brewing Company,Atlanta,,
Flying Mouse Brewery,Troutville,,
Upslope Brewing Company,Boulder,,
Pipeworks Brewing Company,Chicago,,
Bent Brewstillery,Roseville,,
Flesk Brewing Company,Lombard,,
Pollyanna Brewing Company,Lemont,,
BuckleDown Brewing,Lyons,,
Destihl Brewery,Bloomington,,
Summit Brewing Company,St. Paul,,
Latitude 42 Brewing Company,Portage,,
4 Hands Brewing Company,Saint Louis,,
