id,"engname","korname","est","location","location_detail","phone","homepage","description","logo_image","brand_image"
1,"THE BOOTH BREWING","더부스 브루잉","2013.05","경기도 성남","경기도 성남시 분당구 판교동 616","02-1544-4723","https://thebooth.co.kr","더 부스 “한국 맥주가 북한 대동강맥주보다 맛이 없다”는 과감한 헤드라인으로 화제를 일으킨 전 <이코노미스트> 서울 특파원 대니얼 튜더Daniel Tudor와 한의사 김희윤, 투자회사를 다니던 양성후가 의기투합해 2013년 5월, 경리단길에 퍼브 ‘더 부스’를 열었다. 오픈 2년 만에 이들은 방배동과 삼성동 등 8개 지점으로 빠르게 확장하며 수제 맥주계의 거물로 떠올랐다. “맛있는 맥주를 마시고 싶다는 생각에 양조장도 없이 뛰어들었죠. 브루 마스터에게 어떤 맛과 향이었으면 좋겠다는 설명을 하고 레서피를 받아 국내의 한 양조장에 위탁해 만들었어요. 그의 이름을 딴 ‘빌스 페일 에일Bill’s Pale Ale’이 우리의 첫 맥주였습니다.” 더 부스는 올해 4월 판교에 그들의 이름을 건 브루어리를 오픈했다. 복잡한 공정도 마음껏 실험할 수 있고, 품질을 일관되게 유지하는 것도 수월해졌다.","brewery/1/logo_image.png","brewery/1/brand_image.png"
2,"KOREA CRAFT BRERWERY","코리아 크래프트 브루어리","2014.07","충청도 음성","충청북도 음성군 원남면 원남산단로 97, 369-861","043-927-2600","http://www.koreacraftbrewery.com/ ","코리아 크래프트 브류어리 2014년 주세법 개정 이후 한국에 최초로 세워진 크래프트 브루어리인 ‘코리아 크래프트 브류어리’. 작년 7월 완공해 그해 10월부터 본격적으로 생산을 시작했다. 충북 음성의 농촌 마을에 붉은 벽돌의 세련된 건축물이 서 있다. ‘히타치노 네스트 비어’를 생산하는 키우치 브루어리Kiuchi Brewery와 기술적 파트너십을 맺어 시설을 갖춘 내부에는 맥아 보관실과 제분실, 2개의 숙성실, 오픈 키친인 탭 룸이 있다. 코리아 크래프트 브류어리에는 여타 브루어리에서는 보지 못한 독특한 공간인 실험실과 브루 마스터 거주 시설이 눈에 띈다. ","brewery/2/logo_image.png","brewery/2/brand_image.png"
3,"THE HAND AND MALT","더 핸드 앤 몰트","2014.4","경기도 남양주","경기도 남양주시 화도읍 폭포로 361-1","031-593-6258","http://thehandandmalt.com/","마이크로소프트사의 한국 컨슈머 사업본부 총괄 이사를 역임하며 승승장구하던 도정한 대표는 작년 4월, 경기도 남양주에 ‘더 핸드 앤 몰트 브루잉 컴퍼니’를 설립했다. “1997년 홈 브루어링에 매료돼 맥주에 입문했습니다. 인터넷이 지금처럼 활성화되지 않은 때라 매뉴얼이나 원료를 구하는 것 자체가 불가능했죠. 미국에서 맥아와 홉, 효모를 가져와 무작정 만들기 시작했습니다. 20년 동안 맥주에 빠져 지내다 보니 이제 내가 좋아하는 맥주를 만들 수 있겠다 싶어 사표를 냈습니다.” 브루어링의 기본인 페일 에일을 연습하던 그는 이제 5종류의 오리지널 탭(자신만의 레서피로 만든 맥주)을 선보이고 있다. 
진한 홉 향을 기대하고 들어선 남양주 공장. 무취의 말끔한 내부가 마치 병원 실험실 같다. 대형 탱크와 배관을 정갈하게 설계한 곳. 양조학 학위와 기계공학 학위를 가진 20년 경력의 양조 설비 전문가 필립 켈름Phillip Kelm이 설비 컨설턴트로 나서 공장 설립을 책임지면서 유럽과 미국 유명 양조장에서 빚는 것과 같은 수준 높은 맥주를 구현할 수 있게 됐다. 이들의 키워드는 품질과 일관성. 어디에서 어떻게 즐기든 최고 품질의 맥주를 맛볼 수 있게 하는 것이 더 핸드 앤 몰트 브루잉 컴퍼니의 궁극적인 목표다. 재료 공수에 유난히 공을 들이는 이유가 여기에 있다. 일관성 있는 원료 수급을 위해 대량 수입하는데 이때 창고 안에 50여 톤의 맥아가 가득 차고, 이는 10만 리터의 맥주로 다시 태어난다. 재료에 대한 욕심으로 직접 홉 농사도 시작했다. ","brewery/3/logo_image.png","brewery/3/brand_image.png"
4,"MAGPIE","맥파이 브루잉","2012","제주도","제주시 해천동 1309","02-749-2849","http://www.magpiebrewing.com/","Magpie Brewing Company는 맛있고 특별한 맥주를 만들자 라는 단순하고 명확한 목표를 가지고 2012년 설립된 회사로, 풍부한 맛을 갖고 있으면서도 쉽게 마시기 좋은 Magpie Pale(페일에일)과 Magpie Porter(포터)를 필두로 독창적인 재료의 사용과 함께 새로운 스타일을 추구하면서도 균형 잡힌 다양한 종류의 맥주를 양조해왔다. 2016년 Magpie의 철학과 미학을 반영하여 건축된 Magpie 양조장은 제주 북동쪽에 위치하고 있다. 오랫동안 비어있었던 감귤 창고, 포장 공장이 모던한 양조장으로 재탄생 되었고, 깨끗한 공기, 물, 아름다운 자연환경에 둘러싸인 제주도는 완벽한 터전이 되어 양조장과 Magpie의 맥주에도 긍정적인 에너지를 불어넣게 되었다. Magpie가 처음 대중에게 알려지기 시작했던 직영점 유명세로 많은 사람들이 Magpie를 기억하고 있을지 몰라도, Magpie의 가장 큰 성공 요인은 바로 지금껏 양조해온 맥주이다. Magpie의 목표는 소비자들이 양질의 맥주를 마시기 위해 멀리 이동하지 않아도 되게끔, 전국에 Magpie 맥주를 공급하는 것이다. Magpie가 현재 공급하고 있는 맥주는 크게 핵심맥주와 계절맥주 이 두 그룹으로 나뉜다. 핵심맥주 라인업은 1년 내내 제공되며, 고급 레스토랑이든 골목길 사이의 선술집이든 어디에서 마셔도 어울린다. 계절맥주는 한정적으로 양조되며 계절적으로 한정된 특별한 재료들을 사용하고 있다.","brewery/4/logo_image.png","brewery/4/brand_image.png"
5,"GALMEGI BREWING","갈매기 브루잉","2014","부산시 수영구","부산광역시 수영구 광남로 58","070-7677-9658 ","http://www.galmegibrewing.com","Galmegi Brewing Co.는 부산 최초로 미국 스타일의 맥주 양조장을 보유한 브루 펍이다. 갈매기 멤버들은 수제맥주를 사랑하는 홈브루어들로, 오너인 스테판 터코트 또한 독특하고 다양한 레서피 개발에 열정적이다. 뉴욕 출신의 셰프가 선보이는 음식이 주문 즉시 수제로 만들어진다. 부산을 대표하는 펍 중 하나.","brewery/5/logo_image.png","brewery/5/brand_image.png"
6,"KABREW","카브루","2000","강원도 횡성군","경기도 가평군 청평면 수리재길 17 ","02-3143-4082","http://kabrew.co.kr/","카브루는 대한민국 최고의 수제맥주 회사를 지향하며 동시에 창조적인 마음가짐을 지향한다. 국내 소규모 맥주제조면허를 보유한 업체 중 카브루는 이미 질적, 양적인 측면에서 업계 1위의 위치를 점하고 있지만, 그들은 현재의 수준에 만족하지 않는다. 젊은 도전정신과 창의적인 아이디어로 새롭고 맛있는 맥주들을 끊임없이 만들어내는 회사, 최고의 환경에서 안정적인 품질의 제품을 공급하여 언제 어디서나 같은 맥주 맛을 유지하는 회사, 국내 수제맥주 산업의 발전에 기여하는 것은 물론 세계 시장에서 한국 수제맥주의 대표로 인정받는 회사가 카브루가 생각하는 ‘한국 최고 수제맥주 회사’의진짜 모습이며, 카브루는 이러한 꿈을 성취하기 위해 부단히 노력하고 있다. 이러한 꿈을 이루기 위한 구체적인 전략으로서 카브루는 개척자 정신과 고객 제일주의를 핵심가치로 삼는다. 카브루는 최초라는 수식어가 많이 붙는 회사이다. 최초로 국내에 Pale Ale을 생산 및 공급, 3PL을 통한 100% 냉장 배송 실시, 수제맥주 업계 최초 HACCP 환경 구축, 홍콩 및 미국으로 수출 등, 카브루가 지나온 길이 한국 수제맥주 회사의 길이라 해도 과언이 아니다. 카브루는 그들의 비전인 “Korea No.1 Craft Beer Company”를 달성하기 위해 Creative Craft Beer Company라는 슬로건을 바탕으로 끊임 없이 변화하고 발전하고자 노력한다. 지난 15년간 국내 유수의 펍들과 레시피 공동 개발, 생산 및 판매를 하면서 축적한 contract brewing 노하우를 기초로, '카브루 만의 맥주’를 원하는 고객들의 니즈를 100% 충족시키는 한편, 1세대 브루어리로서 직접 경험하며 쌓은 수제맥주시장에 대한 인사이트를 통해 지속적인 시장의 동향이나 운영방안에 대한 Consulting을 제공하여 수제 맥주가 대한민국에 잘 뿌리내릴 수 있도록 최선을 다한다.","brewery/6/logo_image.png","brewery/6/brand_image.png"
7,"CRAFTBROS","크래프트브로스","2014","서울시 서초구","서울시 서초구 반포동 106-7","050-7146-31003","http://craftbros.modoo.at","크래프트맥주가 막 태동하기 시작한 2014년에 크래프트 맥주의 불모지인 서래마을에서 시작한 크래프트브로스. 5종의 연중 생산 맥주를 기본으로 하여 다양한 크래프트맥주를 판매하는 탭하우스와 180여종의 수입맥주를 판매하는 바틀샵이 한 매장 안에 구성되어 있어, 편리하면서 다양한 크래프트 맥주를 즐길 수 있는 곳이다.","brewery/7/logo_image.png","brewery/7/brand_image.png"
8,"WILD WAVES BREWING","와일드 웨이브","2015.4","부산시 수영구","부산광역시 수영구 광남로 78 1층","010-6833-8254","https://www.facebook.com/wildwavesbrewing/","Wild Waves Brewng은 한국의 맥주양조장이다. 이들의 맥주는 Saccharomyces 맥주효모를 사용하여 발효하기도 하겠지만 Brettanomyces와 Lactic acid bacteria 그리고 그 밖의 야생미생물들을 발효과정에 접목하여 양조하는 것을 주력으로 한다. 또한 주변에서 만날수 있는 과채류들을 활용하여 풍미의 깊이를 더하는 과정을 좋아한다. 또한 동서를 막론한 전통적인 술 숙성방법(오크통 숙성, 옹기숙성 등)을 접목하여 인스턴트식처럼 마셔오던 맥주들과는 차원이 다른 느낌을 맥주에 담으려 한다.","brewery/8/logo_image.png","brewery/8/brand_image.png"
9,"7 BRAU","세븐 브로이","2011.10","강원도 횡성","강원도 횡성군 공근면 초원리 109-15","02-2659-1950","http://www.sevenbrau.com","세븐브로이맥주는 1933년 우리나라 최초의 맥주회사 조선맥주가 설립된 이래 77년 만에 탄생한 순수국내자본 맥주기업이다. 하이트, OB에 이은 3번째 맥주인 셈이다. 세븐브로이맥주의 탄생은 2002년으로 거슬러 올라간다. 맥주를 가게에서 제조하고 판매할 수 있는 이른바 하우스맥주법이 통과된 것이 그 시초였다. 물론 관련 법안에 따른 소규모 양조를 통해 맥주를 외부에 유통 할 수는 없었지만 새로운 시장에 매력을 느낀 김강삼 대표는 법에 따라 서울역사와 발산역에 맥주 전문점을 열고소규모 하우스 양조장을 운영하기 시작했다. 크래프트 맥주 혹은 수제 맥주라는 단어조차 듣기 어렵던 시절 김 대표는 개성 있는 맛을 지닌 맥주로 맥주전문점을 성공적으로 운영할 수 있었다. 그런 김 대표를 창업의 길로 들어서게 한 것은 2010년에 들려온 한 가지 소식이었다. 주세법이 바뀌어 중소규모 양조장에서 생산된 맥주 역시 면허를 받고 외부로 유통이 가능하게 된 것이다.","brewery/9/logo_image.png","brewery/9/brand_image.png"
10,"AMAZING BREWING CO.","어메이징 브루잉 컴퍼니","2015.4","서울시 성동구","서울시 성수동 성수1가 27-12","02-465-5208","http://www.amazingbrewing.co.kr ","국내에 소수만 존재하는 국제공인 맥주전문가(Certified Cicerone)인 김태경 대표는 수많은 맥주 대회에서 맥주 심사를 하고 있었다. 그런데 그가 심사하는 대회에서 연이어 우승을 하며 돌풍을 일으킨 주역이 있었으니 그가 바로 스티븐 (Steven Park) 브루마스터이다. 2015년에 처음 만나서 의기투합한 두 사람은 김태경 대표의 집 차고에 Brew 101 이라는 연구소를 차리고 맥주 연구에 돌입한다. 두 사람은 30여개 맥주 레시피를 개발하고, 국내 홈브루잉에서는 최초로 250리터 홈브루잉도 성공한 끝에 브루어리를 설립하기로 했다. ‘성수(성스러운 물, Holy Water)’라는 이름과 가죽공예 장인, 패션 디자이너, 사회적 기업이 모여 있는 분위기에 반해서 4개월간 성동구 성수동의 구석구석을 헤매다가 두 사람은 1959년에 지어진 목조 지붕의 건물을 발견하고 이곳에 ‘어메이징 브루잉 컴퍼니’를 설립하였다. 50개 이상의 해외 브루어리를 여행하면서 ‘비어 투어리스트’라는 책과 블로그까지 운영하는 김태경 대표가 인테리어와 마케팅을 맡고, 국내 최고의 브루마스터로 폭넓은 팬층을 형성하고 있으며 엔지니어링 역량까지 갖춘 스티븐이 모든 양조 장비의 디자인과 설계까지 해내면서 2016년 봄, 어메이징 브루어리는 문을 열었다. 게다가 국내 최초 미슐랭 스타 레스토랑인 정식당과 뉴욕의 최고 요리학교인 CIA(Culinary Institute of America)출신의 요리사 등도 합류하여 최고의 맥주와 어울리는 최고의 음식까지 갖추게 되었다.","brewery/10/logo_image.png","brewery/10/brand_image.png"
