beer_name	beer_abv	beer_ibu	beer_srm	beer_kcal	national_id	category_id	brewery_id	description	ounces					
하이트(hite)	4.3			36	korea	"Pale Larger, North American Lager"		최상의 목넘김과 깔끔한 페일라거의 특징을 살린 엑스트라 콜드 공법으로 제작되었습니다.						
맥스(max)	4.5			40	korea	"Malt Beer, North American Lager"		맥스 11년 내공으로 만들어진 깊고 풍부한 Cream 생 All Malt Beer입니다.						
드라이 d	4.8			40	korea	North American Lager		"드라이공법으로 잔미를 제거하여 극대화된 시원함을 느낄 수 있습니다. 덴마크 덴부르사와의 5년간의 공동연구, 2년 2개월여에 걸친 소비자 조사를 통해 맥주 맛을 완성하였습니다."						
S	3.8				korea	Pale Larger		식이섬유가 1.65g(330ml 기준) 함유되어 있어 몸매관리는 물론 웰빙까지 생각한 맥주입니다.						
Stout	5			40.9	korea	"Larger, Dark Beer"		독일산 흑맥아를 사용하여 더욱 풍부하고 진한 국내 유일의 라거타입 흑맥주입니다.						
QUEEN's ALE	5.4				korea	"Blonde Ale, Pale Ale"		맥주 맛이 가진 의미와 깊이를 이해하는 인생의 탐험가를 위하여 트리플 호핑과 풀바디감의 깊고 풍부한 정통 Premium Pale Ale 맥주입니다.						
카스 후레쉬	4.5			39.3	korea	North American Lager		넌 파스트라이제이션 공법(NON-PASTEURIZATION)으로 맥주의 신선하고 톡 쏘는 맛을 더욱 느낄 수 있습니다.						
카스 라이트	4			27	korea	North American Lager		"국내 유일 빙점숙성으로 맛은 더욱 상쾌해지고, 칼로리는 1/3 줄였습니다."						
카스 레드	6.9			45.14	korea	North American Lager		고알코올 발효 공법과 아로마 호프가 맥주의 맛을 더욱 깊고 풍부하게 해줍니다.						
카스 레몬	3.9				korea	North American Lager		천연레몬과즙을 함유해 맥주의 깨끗하고 상쾌한 맛을 더욱 살렸습니다.						
카스 비츠	5.8				korea	Pale Larger		트위스트 캡을 사용하여 병따개 없이도 순쉽게 병을 오픈 할 수 있도록 고안하였습니다.						
프리미어 OB 필스너	5.2				korea	Pilsner - German		프리미어 OB는 100% 맥아와 노블홉으로 필스너 맥주 본연의 깊고 풍부한 맛을 구현한 대한민국 정통 필스너 맥주입니다.						
프리미어 OB 바이젠	5				korea	Hefeweizen		"독일 정통 리얼 맥주, 'premier OB'가 선보이는 첫 번째 브루마스터 셀렉션. 1366년부터 시작된 세계에서 가장 큰 맥주 회사인 ABI의 베테랑 양조 장인이 빚어낸 프리미엄 맥주 컬렉션입니다."						
프리미어 OB 둔켈	5				korea	Dunkelweizen		바이젠에 이은 두 번째 프리미어 OB 브루마스터 셀렉션. 풍부한 향과 부드러운 목넘김이 특징이 라거타입의 흑맥주입니다.						
카프리(cafri)	4.2			29.09	korea	North American Lager		"프리미엄 아로마 호프와 청정지역 맥아를 엄선하여, 카프리만의 깨끗하고 부드러운 맛을 살려 산뜻한 기분과 맥주의 상쾌함을 동시에 느낄 수 있는 프리미엄 맥주입니다."						
클라우드(kloud)	5			39.5	korea	Malt Beer		물을 타지 않는 맥주. 독일 정통 제조 방식인 오리지널 그래비티 공법을 적용하였습니다.						
